Date,Demand(MW),Temp(C),IsHoliday,humidity,feelslike
2023-07-05,13900,30.3,0,74.6,36.5
2023-07-04,13000,31.4,0,69.7,37.9
2023-07-03,12500,30.0,0,80.1,37.4
2023-07-02,11800,28.8,0,82.1,34.1
2023-07-01,11000,27.0,0,88.8,29.9
2023-06-30,11500,28.0,1,82.1,31.3
2023-06-29,10500,27.0,0,88.4,29.9
2023-06-28,12000,27.0,0,85.8,29.2
2023-06-27,11300,27.2,0,82.9,30.5
2023-06-26,14600,28.9,0,72.7,33.0
2023-06-25,14800,29.8,0,70.8,34.6
2023-06-24,14500,30.2,0,71.9,35.7
2023-06-23,13800,29.8,1,73.9,35.4
2023-06-22,14300,29.7,0,75.5,35.4
2023-06-21,14200,29.5,0,78.9,35.7
2023-06-20,14200,28.2,0,80.5,32.5
2023-06-19,14800,29.2,0,75.9,34.4
2023-06-18,14500,28.4,0,81.7,33.5
2023-06-17,14500,30.1,0,73.9,35.3
2023-06-16,14000,30.9,1,75.4,38.8
2023-06-15,14800,30.8,0,72.2,38.0
2023-06-14,14200,31.1,0,68.4,37.3
2023-06-13,14200,29.7,0,71.6,34.2
2023-06-12,14600,28.3,0,79.1,32.6
2023-06-11,14800,29.0,0,75.1,33.5
2023-06-10,14000,28.3,0,78.8,32.3
2023-06-09,14500,27.8,1,79.1,31.3
2023-06-08,15200,30.6,0,74.4,38.0
2023-06-07,16000,33.1,0,63.2,40.7
2023-06-06,15800,33.5,0,59.1,40.3
2023-06-05,15800,32.9,0,58.3,38.2
2023-06-04,15700,32.8,0,59.1,38.5
2023-06-03,15500,32.4,0,61.7,38.3
2023-06-02,14800,32.7,1,63.1,39.3
2023-06-01,15500,32.8,0,60.6,39.1
2023-05-31,15200,32.5,0,56.7,36.9
2023-05-30,14900,32.3,0,57.0,36.4
2023-05-29,14500,31.2,0,59.6,34.7
2023-05-28,13800,29.5,0,65.2,31.8
2023-05-27,13500,28.0,0,76.2,31.0
2023-05-26,12000,29.8,1,64.2,32.6
2023-05-25,13500,28.9,0,69.7,32.0
2023-05-24,13500,28.0,0,73.0,29.8
2023-05-23,14500,28.4,0,78.7,32.8
2023-05-22,13900,29.5,0,72.0,33.4
2023-05-21,14500,30.2,0,70.1,35.1
2023-05-20,13000,30.4,0,64.0,34.1
2023-05-19,12000,29.2,1,71.3,33.1
2023-05-18,12500,27.3,0,74.1,28.9
